Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192607,5.8248,-1.7006,0.4875,-1.458,2.0534,1.2077,2.4192,0.4926,-2.6049,-0.3344,1.9116,2.4336,-0.4347,3.7288,-1.2629,1.5893,1.5278,1.2978,0.2727,2.4678,3.4539,6.0902,2.0266,3.1111,0.5623
192608,-2.0206,-8.0282,1.3796,1.4606,8.3968,2.3618,-1.1849,4.0084,0.5038,6.1675,-0.939,2.3886,1.9912,4.298,8.1169,1.3336,3.873,2.0021,2.1706,5.3422,1.0124,4.1903,2.0131,5.4849,7.7576
192609,-4.8291,-2.6154,-4.3417,-3.2729,0.8649,-2.654,-1.2618,1.0829,-3.548,-0.9401,-0.3898,0.169,-1.9328,2.6946,-3.6215,1.0923,-0.525,-1.7636,1.4646,0.873,-1.2906,3.6538,0.095,-0.7487,-2.4284
192610,-9.3729,-3.5519,-3.4948,3.4413,-2.5476,-2.8069,-3.2663,-5.0745,-8.0191,-1.3213,-5.1161,-2.5583,0.4293,-2.1819,-3.1373,-3.3361,-2.6559,-2.107,-3.1051,-5.3525,-2.7413,-3.0071,-2.2437,-4.6719,-5.8129
192611,5.5888,4.1877,2.4623,-4.4494,0.5362,3.1033,-2.369,3.0078,5.1546,2.7292,1.9107,4.5467,0.4771,4.943,3.7333,3.4448,2.3887,3.7335,4.932,1.8213,4.2946,2.5326,1.5204,3.6619,2.5636
192612,14.9644,-1.3814,0.1503,3.4171,0.8556,3.1108,4.7507,1.2089,2.134,5.198,-1.3186,2.3963,-1.0707,3.0242,1.5349,3.4702,2.6069,1.7698,3.0306,0.1578,1.4887,3.4585,1.9777,6.2357,2.4024
192701,1.0943,-8.1352,-5.2057,3.0498,2.0166,2.9853,-4.2365,-0.064,-0.3004,11.057,-0.6319,-0.22,-0.6412,2.3361,2.5541,2.3758,1.4701,-0.5134,0.2313,7.3063,-0.7756,0.3281,-0.4374,0.5498,4.2141
192702,2.8672,-0.4922,8.9123,5.3216,10.2076,1.5108,8.6948,7.8557,4.0122,7.5867,6.1214,5.5311,4.3764,6.5566,13.2797,5.2914,4.2655,2.3492,6.7788,11.4693,3.4545,5.0906,3.4173,5.1264,6.2731
192703,5.8224,-0.1275,-5.8769,-3.901,-3.5735,-2.4897,-0.5186,-2.0169,-0.7107,-0.5481,0.5222,-3.5673,-0.6866,-2.0763,-5.9028,-2.2017,0.1638,-1.3431,-1.3877,3.889,0.5845,1.9822,-0.1206,0.4765,-3.8361
192704,7.8219,4.788,4.3888,3.3905,6.4218,-2.9654,-5.6544,-0.2997,-0.3946,4.4712,-2.2887,1.3977,-0.5106,2.2022,1.7466,-0.2637,1.8622,-1.2139,0.0794,5.753,2.6984,0.8929,-0.2989,-0.4236,-3.5345
192705,10.2463,7.2563,2.5823,14.6735,10.0697,7.2964,2.5196,5.4286,8.9854,13.453,3.0289,6.6737,6.1437,7.1049,12.9147,4.8501,6.1769,3.7701,7.1732,7.7199,5.6929,4.6786,5.5318,5.4185,4.7762
192706,-3.4332,10.6227,-3.0588,-4.2885,-4.4903,3.2711,3.2146,4.566,-0.9188,-6.3846,-0.6943,-3.6414,-0.7963,0.1135,1.7373,1.0302,-3.2201,-3.6411,-2.2869,1.9683,-0.0607,-3.1371,-2.7494,-3.0453,-5.3613
192707,24.4089,9.3017,4.6663,2.3241,5.4903,5.6673,6.9927,4.0996,7.1969,4.0386,2.7386,5.8245,6.1365,2.7735,8.8516,6.743,6.9138,7.0503,7.5109,1.4324,11.3288,5.7944,6.6541,8.5879,13.4463
192708,11.7732,4.9954,0.796,-0.7358,1.3677,0.9771,-2.6027,-1.773,0.6072,5.1792,0.3843,2.0226,3.1076,-2.6935,-5.4249,4.8641,3.5513,0.9982,-2.6278,-6.311,5.5475,1.2272,0.4897,0.8744,3.9099
192709,-4.9477,-6.7818,0.5161,0.1363,0.6835,2.7947,7.9706,3.3378,1.1362,-1.0265,3.4372,0.1308,1.9977,1.6582,9.2306,4.1889,3.1316,4.9157,4.2554,9.8708,6.1583,4.0775,5.5837,3.9928,5.5923
192710,-8.8937,-8.6198,-2.2257,-3.1249,-10.117,2.3056,-1.0019,0.1023,-4.2252,-4.3916,-0.6665,-1.6297,0.3811,-3.9966,-10.0271,0.5125,-1.9353,-2.6703,-4.7038,-11.781,-5.0438,-2.2322,-4.1542,-6.4498,-14.5457
192711,6.8966,11.2831,16.53,9.3968,12.1263,14.1996,15.1979,8.1785,9.0306,8.4672,6.3767,8.645,8.1323,7.0418,9.8739,7.6668,8.4366,7.6681,7.7686,8.101,7.0786,6.5042,5.9958,7.0421,8.0776
192712,-3.9895,5.6253,3.8034,4.5314,6.9476,4.9187,3.7364,2.3803,3.0063,-0.3356,4.5671,4.6301,5.0483,3.4427,11.3299,0.0688,5.5596,4.3273,1.6662,-2.3196,2.8565,1.3058,1.2653,2.449,10.3769
192801,-8.2364,9.1735,5.0289,1.7826,9.9855,1.3515,3.8725,0.3039,5.1745,2.2786,4.8614,2.7913,4.0871,2.1993,-5.8473,1.7794,1.0807,0.2716,2.2149,0.3207,-1.2721,-0.2557,-0.6328,-1.6406,-5.0648
192802,0.6463,-4.7897,5.7752,3.0179,-4.8289,-5.778,-2.0575,-2.5744,-1.9327,-5.6043,-2.5599,-1.9367,-2.859,-2.5201,-6.2804,-4.7542,-0.8688,-2.0537,-3.0113,-8.524,-0.1501,-0.6324,-0.4929,-2.1203,-1.3892
192803,40.0538,0.3317,2.0746,-2.6996,8.9589,4.7209,11.7987,6.8588,7.68,14.3977,6.4521,11.7292,10.073,3.141,11.7466,16.3755,9.0919,5.4936,7.7651,7.908,15.7618,5.2287,6.6552,5.6532,16.7279
192804,-12.8663,14.8714,17.1059,2.9593,15.5896,0.3536,23.2107,3.6931,4.474,10.4199,7.935,4.518,7.3613,4.5859,6.989,5.2402,4.95,2.3826,4.5398,3.7146,1.424,6.804,6.6218,2.77,3.3096
192805,17.7179,-3.2401,4.3676,14.0931,5.7369,2.0846,3.8072,5.544,6.1501,3.2917,2.7653,6.8507,1.2947,-1.3429,-3.1876,5.3993,-0.3854,1.1098,1.1637,2.1587,2.0904,2.138,-0.5398,1.2095,-3.8808
192806,-19.2709,-8.7586,-13.2701,-8.5641,-9.4437,-5.7393,-9.2721,-8.613,-7.7717,-6.1054,-6.4146,-4.6534,-7.176,-7.2972,-6.883,-7.1399,-5.5156,-3.4289,-5.7935,-5.8891,-3.0501,-3.6311,-3.5131,-4.8622,-9.112
192807,-2.0217,3.5783,5.3781,2.036,-0.3159,1.0836,-3.766,-1.0971,0.7975,-2.6184,-0.045,-0.3073,-0.679,0.3334,1.2948,0.8279,-0.6082,1.326,1.5005,0.868,1.5815,0.2324,0.1677,0.2981,0.7709
192808,7.5257,0.5454,4.1219,2.1206,3.5138,6.8023,3.8248,3.6769,3.2564,4.4985,6.4729,9.0259,8.4449,4.1657,8.1965,9.9038,8.1583,6.4443,7.8532,7.7317,8.6838,6.5887,5.2701,4.4373,4.9839
192809,3.7129,3.1614,1.9913,-0.2092,13.4251,3.1124,2.6504,5.7641,5.0156,13.4684,5.8003,4.7312,5.4875,6.4449,3.0627,5.3886,6.4645,2.9592,3.0408,5.9184,2.7157,1.0239,2.2561,0.5861,6.959
