Date,Mkt-RF,SMB,HML,RMW,CMA,RF
196307,-0.39,-0.41,-0.96,0.7,-1.23,0.27
196308,5.07,-0.83,1.82,0.34,-0.33,0.25
196309,-1.57,-0.42,0,-0.74,0.5,0.27
196310,2.53,-1.45,-0.08,2.84,-2.09,0.29
196311,-0.85,-0.96,1.75,-0.51,2.17,0.27
196312,1.83,-2.12,0.02,0.04,-0.08,0.29
196401,2.24,0.14,1.37,0.16,1.4,0.3
196402,1.54,0.22,2.87,0.06,0.82,0.26
196403,1.41,1.27,3.12,-2.2,3.33,0.31
196404,0.1,-1.42,-0.79,-1.41,-0.89,0.29
196405,1.42,-0.45,1.48,-0.24,0.33,0.26
196406,1.27,0.16,0.73,-0.32,-0.29,0.3
196407,1.74,0.49,0.74,0.06,1.91,0.3
196408,-1.44,0.4,0.15,0.11,0.39,0.28
196409,2.69,-0.28,1.7,-0.56,0.49,0.28
196410,0.59,0.85,1.07,-0.37,0.52,0.29
196411,0,-0.11,-2.02,0.58,-0.29,0.29
196412,0.03,-0.47,-2.62,1.11,-1.57,0.31
196501,3.54,2.17,0.51,0.84,0.35,0.28
196502,0.44,3.23,0.3,0.25,-0.69,0.3
196503,-1.34,2.13,1.11,-0.28,0.48,0.36
196504,3.11,1.04,0.7,0.2,-1.88,0.31
196505,-0.77,0.09,-1.57,-0.45,0.58,0.31
196506,-5.51,-4.14,0.34,0.27,0.34,0.35
196507,1.43,1.11,2.1,-1.33,0.04,0.31
196508,2.73,2.65,-0.93,1.88,-0.72,0.33
196509,2.86,0.48,0.04,-0.81,0.55,0.31
196510,2.6,3.48,1.58,1.09,-0.75,0.31
196511,-0.03,5.1,0.18,-1.01,-1,0.35
196512,1.01,2.64,2.06,-1.08,-0.55,0.33
196601,0.72,4.72,3.47,-2.85,-0.1,0.38
196602,-1.21,4.63,0.49,-0.24,-1.57,0.35
196603,-2.51,0.42,-1.99,1.22,0.14,0.38
196604,2.14,3.4,-0.4,0.28,-1,0.34
196605,-5.66,-4.87,-1.97,1.64,-1.13,0.41
196606,-1.44,1.3,0.57,0.1,0.62,0.38
196607,-1.63,-0.23,0.81,-0.42,1.92,0.35
196608,-7.91,-3.15,0.39,-0.12,0.71,0.41
196609,-1.06,-1.02,0.51,-1.88,2.32,0.4
196610,3.86,-6.49,2.75,-3.58,4.01,0.45
196611,1.4,3.27,-4.66,4.11,-6.71,0.4
196612,0.13,2.03,-1.15,0.54,-0.48,0.4
196701,8.15,8.92,2.39,1.16,-3.31,0.43
196702,0.78,3.01,-2.21,1.97,-1.11,0.36
196703,3.99,1.88,0.43,0.68,-1.74,0.39
196704,3.89,0.44,-2.38,2.32,-3.49,0.32
196705,-4.33,2.42,1.09,-1.69,1.86,0.33
196706,2.41,6.42,0.93,-0.59,-2.39,0.27
196707,4.58,3.61,2.72,0.52,2.65,0.31
196708,-0.89,0.69,1.49,0.49,1.36,0.31
196709,3.11,2.44,-2.53,0.18,-0.99,0.32
196710,-3.09,0.53,-3.3,0.89,-2.44,0.39
196711,0.37,-0.06,-1.84,1.22,-2.19,0.36
196712,3.05,5.81,-0.56,-0.75,0.24,0.33
196801,-4.06,4.57,4.7,-4.57,6.42,0.4
196802,-3.75,-2.64,0.98,-0.36,2.7,0.39
196803,0.2,-1.82,-0.26,1.14,-1.3,0.38
196804,9.05,6.06,-1.09,2.92,-3.65,0.43
196805,2.28,7,0.92,0.4,-1.96,0.45
196806,0.69,-0.31,0.7,-1.46,2.78,0.43
196807,-2.72,-1.46,5.39,-3.03,3.58,0.48
196808,1.34,2.38,1.01,-0.76,0.32,0.42
196809,4.03,2.78,0.26,-2.1,0.96,0.43
196810,0.42,-0.36,2.87,-1.36,2.78,0.44
196811,5.43,2.47,-1.04,0.37,-2.28,0.42
196812,-3.94,3.81,-0.13,-2.3,1.88,0.43
196901,-1.25,-0.33,1.54,-1.67,1.39,0.53
196902,-5.84,-4.12,0.89,2.03,0.92,0.46
196903,2.64,-0.25,-0.53,-1.77,-0.3,0.46
196904,1.46,-0.75,-0.06,0.24,0.02,0.53
196905,-0.1,0.22,0.64,-1.59,1.42,0.48
196906,-7.18,-5.49,-1.03,4.56,-1.63,0.51
196907,-7,-3.44,1.33,1.59,1.88,0.53
196908,4.68,0.65,-3.74,0.91,-4.02,0.5
196909,-2.98,1.34,-3.07,3.58,-0.68,0.62
196910,5.06,3.7,-2.98,0.16,-2.01,0.6
196911,-3.79,-2.4,-1.16,1.44,0.27,0.52
196912,-2.63,-3.75,-2.74,2.57,-1.71,0.64
197001,-8.1,3.17,3.07,-1.82,3.79,0.6
197002,5.13,-2.8,4.01,-2.19,2.83,0.62
197003,-1.06,-2.34,3.95,-1.11,4.33,0.57
197004,-11,-6.39,6.26,-0.42,6.11,0.5
197005,-6.92,-4.35,3.3,-1.25,3.84,0.53
197006,-5.79,-2.05,0.45,0.07,2.83,0.58
197007,6.93,-0.54,0.93,-0.53,1.75,0.52
197008,4.49,1.52,1.21,0.52,-0.22,0.53
197009,4.18,8.44,-5.53,0.28,-5.95,0.54
